gene	AD.Ex.grn.demo.txt.betweenness	AD.Ex.grn.demo.txt.degree_in	AD.Ex.grn.demo.txt.degree_out	Ctrl.Ex.grn.demo.txt.betweenness	Ctrl.Ex.grn.demo.txt.degree_in	Ctrl.Ex.grn.demo.txt.degree_out	AD.In.grn.demo.txt.betweenness	AD.In.grn.demo.txt.degree_in	AD.In.grn.demo.txt.degree_out	Ctrl.In.grn.demo.txt.betweenness	Ctrl.In.grn.demo.txt.degree_in	Ctrl.In.grn.demo.txt.degree_out	AD.Mic.grn.demo.txt.betweenness	AD.Mic.grn.demo.txt.degree_in	AD.Mic.grn.demo.txt.degree_out	Ctrl.Mic.grn.demo.txt.betweenness	Ctrl.Mic.grn.demo.txt.degree_in	Ctrl.Mic.grn.demo.txt.degree_out	AD.Oli.grn.demo.txt.betweenness	AD.Oli.grn.demo.txt.degree_in	AD.Oli.grn.demo.txt.degree_out	Ctrl.Oli.grn.demo.txt.betweenness	Ctrl.Oli.grn.demo.txt.degree_in	Ctrl.Oli.grn.demo.txt.degree_out
MLXIPL	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA
MNT	0	0	1	0	0	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MNX1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
MSC	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTF1	0	0	13	0	0	13	0	0	16	0	0	15	0	0	21	0	0	24	0	0	19	0	0	16
MXD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	57	0
MXI1	0	0	5	0	0	4	0	0	4	0	0	4	0	0	4	0	0	3	0	0	3	0	0	2
MYB	0	0	1	0	0	1	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYBL1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	0	0	1	0	0	2
MYBL2	0	0	2	0	0	1	0	0	4	0	0	3	NA	NA	NA	NA	NA	NA	0	0	6	0	0	6
MYC	0	0	3	0	0	4	0	0	3	0	0	4	0	0	3	0	0	2	NA	NA	NA	NA	NA	NA
MYCN	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
MYL12A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	58	0	0	64	0
MYL12B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	0	70	0	0	77	0	0	88	0
MZF1	0	0	12	0	0	8	0	0	7	0	0	8	0	0	6	0	0	8	0	0	13	0	0	13
NBL1	0	134	0	0	142	0	0	134	0	0	135	0	0	57	0	0	56	0	NA	NA	NA	NA	NA	NA
NEUROD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
NEUROG2	0	0	3	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NFATC2	0	0	6	0	0	5	0	0	4	0	0	4	0	0	4	0	0	8	0	0	5	0	0	5
NFATC3	0	0	2	0	0	2	0	0	2	0	0	1	0	0	3	0	0	4	0	0	1	NA	NA	NA
NFE2L2	0	0	1	0	0	2	0	0	5	0	0	5	0	0	1	0	0	1	0	0	3	0	0	3
NFIA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2	0	0	5	0	0	2	0	0	7	0	0	6
NFIC	0	0	11	0	0	10	0	0	14	0	0	15	0	0	33	0	0	30	0	0	18	0	0	26
NFIL3	0	0	1	NA	NA	NA	0	0	2	0	0	1	0	0	2	0	0	4	0	0	1	0	0	1
NFIX	0	0	2	0	0	2	0	0	2	0	0	3	0	0	2	0	0	1	0	0	2	0	0	2
NFKB1	0	0	12	0	0	13	0	0	11	0	0	10	0	0	22	0	0	27	0	0	20	0	0	20
NFKB2	0	0	3	0	0	7	NA	NA	NA	NA	NA	NA	0	0	8	0	0	11	0	0	10	0	0	10
NFYA	0	0	12	0	0	9	0	0	11	0	0	12	0	0	28	0	0	21	0	0	24	0	0	26
NFYB	0	0	8	0	0	8	0	0	5	0	0	7	0	0	14	0	0	12	0	0	16	0	0	14
NHLH1	0	0	4	0	0	2	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	NA	NA	NA
NKX2-8	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NKX3-1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOTO	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA
NR1H2	0	0	11	0	0	10	0	0	18	0	0	17	0	0	32	0	0	28	0	0	25	0	0	23
NR1H4	0	0	3	0	0	2	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2
NR2C2	0	0	12	0	0	10	0	0	13	0	0	9	0	0	26	0	0	19	0	0	20	0	0	17
NR2F1	0	0	7	0	0	5	0	0	8	0	0	5	NA	NA	NA	0	0	15	0	0	14	0	0	13
NR2F2	0	0	3	0	0	2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4
NR3C1	0	0	8	0	0	9	0	0	14	0	0	18	0	0	20	0	0	24	0	0	16	0	0	18
NR3C2	0	0	7	0	0	6	0	0	8	0	0	11	0	0	29	0	0	25	0	0	15	0	0	17
NR4A1	0	0	3	0	0	2	0	0	2	0	0	2	NA	NA	NA	0	0	2	0	0	4	0	0	4
NR4A2	0	0	6	0	0	6	0	0	4	0	0	3	0	0	5	0	0	7	0	0	10	0	0	10
NRF1	0	0	1	0	0	2	0	0	2	0	0	2	0	0	1	0	0	1	0	0	2	0	0	1
NRL	0	0	3	0	0	3	0	0	3	0	0	2	NA	NA	NA	0	0	2	0	0	5	0	0	3
NUTF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	0	44	0	NA	NA	NA	NA	NA	NA
NXF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	64	0
OLIG1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2
OLIG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	14	62	1
ONECUT1	0	0	7	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	17	0	0	10
ONECUT2	0	0	11	0	0	13	0	0	14	0	0	11	NA	NA	NA	NA	NA	NA	0	0	14	0	0	20
ONECUT3	0	0	12	0	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPTN	0	71	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP2	0	65	0	0	65	0	NA	NA	NA	NA	NA	NA	0	40	0	0	43	0	NA	NA	NA	NA	NA	NA
PAX3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	4
PAX5	0	0	10	0	0	13	0	0	13	0	0	14	NA	NA	NA	NA	NA	NA	0	0	29	0	0	24
PAX7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	0	0	4	0	0	3
PBX1	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	0	0	3	0	0	6	0	0	6	0	0	4
PBX2	0	0	1	0	0	3	0	0	2	0	0	3	0	0	4	0	0	5	0	0	4	0	0	4
PBX3	0	0	13	0	0	10	0	0	11	0	0	15	0	0	31	0	0	33	0	0	30	0	0	31
PDIA6	0	116	0	0	119	0	0	136	0	0	104	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PET117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20	0	NA	NA	NA
PITX3	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKNOX1	0	0	12	0	0	13	0	0	13	0	0	14	0	0	29	0	0	31	0	0	32	0	0	27
PKNOX2	0	0	12	0	0	13	0	0	11	0	0	12	NA	NA	NA	0	0	29	0	0	37	0	0	30
PLAG1	0	0	16	0	0	13	0	0	16	0	0	14	0	0	34	0	0	33	0	0	31	0	0	33
PLIN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	53	0	NA	NA	NA	NA	NA	NA
PLXNC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	60	0	0	67	0	NA	NA	NA	NA	NA	NA
POU2F1	0	0	5	0	0	4	0	0	3	0	0	3	0	0	1	NA	NA	NA	0	0	1	NA	NA	NA
POU2F2	0	0	9	0	0	6	0	0	11	0	0	9	0	0	12	0	0	9	0	0	10	0	0	12
POU3F1	0	0	5	0	0	3	0	0	5	0	0	4	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
POU3F2	0	0	5	0	0	4	0	0	5	0	0	4	NA	NA	NA	NA	NA	NA	0	0	5	0	0	6
POU3F3	0	0	8	0	0	6	0	0	7	0	0	7	NA	NA	NA	NA	NA	NA	0	0	6	0	0	4
POU3F4	0	0	1	0	0	1	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU5F1	0	0	2	0	0	1	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	4
POU5F1B	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU6F1	0	0	1	NA	NA	NA	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA
POU6F2	0	0	1	NA	NA	NA	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	NA	NA	NA
PPARA	0	0	14	0	0	14	0	0	14	0	0	15	0	0	27	0	0	27	0	0	21	0	0	23
PPARG	0	0	17	0	0	16	0	0	16	0	0	18	0	0	35	0	0	34	0	0	30	0	0	26
PPP5D1	0	68	0	0	69	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRDM1	0	0	14	0	0	16	0	0	13	0	0	14	0	0	35	0	0	33	0	0	28	NA	NA	NA
PROP1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROX1	0	0	2	0	0	2	0	0	4	0	0	3	0	0	4	0	0	4	0	0	5	0	0	4
PRRX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
RANBP9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	0	69	0	NA	NA	NA	NA	NA	NA
RARA	0	0	17	0	0	17	0	0	21	0	0	19	NA	NA	NA	0	0	33	0	0	35	0	0	34
RBPJ	0	0	3	0	0	5	0	0	5	0	0	5	0	0	5	0	0	7	0	0	4	0	0	2
RCAN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	59	0
RCL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	66	0	0	60	0	NA	NA	NA	NA	NA	NA
REL	0	0	2	0	0	1	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	2
RELA	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	3	0	0	4	0	0	4
RELB	0	0	2	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	4	0	0	4
REST	0	0	16	0	0	9	NA	NA	NA	NA	NA	NA	0	0	39	0	0	34	0	0	37	0	0	34
RFX2	0	0	8	0	0	7	0	0	14	0	0	12	0	0	31	0	0	32	0	0	24	0	0	21
RFX3	0	0	7	0	0	4	0	0	8	0	0	8	0	0	23	0	0	19	0	0	16	0	0	13
RFX4	0	0	4	0	0	4	0	0	7	0	0	8	NA	NA	NA	NA	NA	NA	0	0	15	0	0	12
RFX5	0	0	8	0	0	11	0	0	14	0	0	11	0	0	28	0	0	24	0	0	23	0	0	19
RHOXF1	0	0	2	0	0	1	0	0	4	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RORA	0	0	7	0	0	7	0	0	10	0	0	8	0	0	12	0	0	13	0	0	13	0	0	11
RORB	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	0	0	2	0	0	2
RORC	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1
RPS10-NUDT3	NA	NA	NA	NA	NA	NA	0	38	0	0	36	0	NA	NA	NA	0	39	0	NA	NA	NA	NA	NA	NA
RREB1	0	0	15	0	0	18	0	0	16	0	0	16	0	0	37	0	0	39	0	0	35	0	0	34
RTN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	69	0	0	67	0
RUNX1	0	0	2	0	0	2	0	0	3	0	0	3	62	64	2	90	62	3	0	0	5	0	0	5
RUNX2	0	0	7	0	0	10	0	0	10	0	0	10	0	0	18	0	0	17	0	0	19	0	0	15
RUNX3	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	NA	NA	NA	NA	NA	NA
RXRA	0	0	17	0	0	19	0	0	22	0	0	18	0	0	31	0	0	39	0	0	37	0	0	36
RXRB	0	0	12	0	0	12	0	0	17	0	0	14	0	0	26	0	0	29	0	0	25	0	0	20
RXRG	0	0	17	0	0	15	0	0	19	0	0	17	NA	NA	NA	NA	NA	NA	0	0	28	0	0	22
SCAMP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	46	0	NA	NA	NA	NA	NA	NA
SCRT1	0	0	13	0	0	13	0	0	12	0	0	12	NA	NA	NA	NA	NA	NA	0	0	17	0	0	21
SF3B4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	80	0	0	68	0	NA	NA	NA	NA	NA	NA
SH2B3	0	55	0	0	56	0	0	61	0	0	54	0	0	49	0	0	47	0	NA	NA	NA	NA	NA	NA
SH2D3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	55	0
SMAD2	0	0	6	0	0	5	0	0	4	0	0	2	0	0	15	0	0	8	0	0	11	0	0	11
SMAD3	0	0	5	0	0	4	0	0	7	0	0	5	0	0	17	0	0	14	0	0	15	0	0	13
SMAD4	0	0	6	0	0	4	0	0	6	0	0	5	0	0	13	0	0	10	0	0	12	0	0	13
SMIM10L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	0	0	32	0
SNAI2	0	0	4	0	0	5	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAPC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	49	0	NA	NA	NA	NA	NA	NA
SORBS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	48	0	0	64	0	NA	NA	NA	NA	NA	NA
SOX10	0	0	7	0	0	4	0	0	7	0	0	5	NA	NA	NA	NA	NA	NA	0	0	13	0	0	9
SOX13	0	0	2	0	0	4	0	0	4	0	0	4	NA	NA	NA	0	0	1	0	0	1	NA	NA	NA
SOX15	0	0	2	NA	NA	NA	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	0	0	3	0	0	3
SOX21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	21	0	0	24
SOX4	0	0	11	0	0	11	0	0	13	0	0	13	0	0	30	0	0	25	0	0	25	0	0	29
SOX8	0	0	11	0	0	10	0	0	17	0	0	13	NA	NA	NA	NA	NA	NA	0	0	25	0	0	25
SOX9	0	0	2	0	0	2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
SP1	0	0	10	0	0	8	0	0	10	0	0	10	0	0	10	0	0	10	0	0	10	0	0	6
SP2	0	0	15	0	0	14	0	0	14	0	0	15	0	0	34	0	0	29	0	0	28	0	0	33
SP3	0	0	5	0	0	4	0	0	3	0	0	3	0	0	4	0	0	4	0	0	5	0	0	6
SP4	0	0	15	0	0	14	0	0	17	0	0	15	0	0	35	0	0	35	0	0	28	0	0	29
SP8	NA	NA	NA	NA	NA	NA	0	0	4	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPI1	0	0	19	0	0	18	0	0	17	0	0	18	0	0	35	0	0	35	0	0	29	0	0	28
SPIB	0	0	4	0	0	2	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPIC	0	0	7	0	0	11	NA	NA	NA	0	0	8	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA
SPON1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	0	0	38	0
SPRY2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRA1	0	68	0	0	68	0	0	62	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SREBF1	0	0	2	0	0	4	0	0	1	0	0	2	0	0	2	0	0	2	0	0	3	0	0	2
SREBF2	0	0	3	0	0	2	0	0	4	0	0	3	0	0	4	0	0	6	0	0	3	0	0	5
SRF	0	0	15	0	0	12	0	0	18	0	0	17	0	0	30	NA	NA	NA	0	0	32	0	0	33
SRRM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	38	0	0	85	0	0	81	0
ST3GAL6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	77	0	0	76	0
STAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	68	0
STAT1	0	0	18	0	0	18	0	0	19	0	0	19	0	0	35	0	0	36	0	0	34	0	0	33
STAT2	0	0	15	0	0	14	0	0	18	0	0	17	0	0	39	0	0	38	0	0	31	0	0	32
STAT3	0	0	4	0	0	3	0	0	4	0	0	3	0	0	6	0	0	7	0	0	3	0	0	4
TAL1	NA	NA	NA	0	0	3	NA	NA	NA	NA	NA	NA	0	0	25	0	0	31	NA	NA	NA	NA	NA	NA
TBR1	0	0	2	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBX1	NA	NA	NA	0	0	1	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5
TBX15	0	0	2	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5	NA	NA	NA
TBX19	0	0	7	0	0	7	0	0	10	0	0	10	0	0	22	0	0	18	0	0	17	0	0	15
TBX2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBX20	0	0	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	0	0	5
TBX21	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	3	0	0	3	NA	NA	NA
TBX5	0	0	2	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0	0	1
TCF3	0	0	4	0	0	5	0	0	6	0	0	5	0	0	8	0	0	6	0	0	6	0	0	7
TCF4	0	0	3	0	0	3	0	0	3	NA	NA	NA	0	0	2	0	0	3	0	0	4	0	0	3
TCF7L1	0	0	11	0	0	12	0	0	13	0	0	13	0	0	16	0	0	17	0	0	16	0	0	15
TCF7L2	0	0	7	0	0	8	0	0	8	0	0	9	0	0	13	0	0	9	0	0	9	0	0	11
TEAD1	0	0	5	0	0	5	0	0	5	0	0	6	0	0	2	0	0	4	0	0	3	0	0	4
TEAD2	0	0	1	NA	NA	NA	NA	NA	NA	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4
TEAD3	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
TEAD4	NA	NA	NA	0	0	1	0	0	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	NA	NA	NA	0	0	1	0	0	1
TFAP2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	16
TFAP4	0	0	1	0	0	1	0	0	2	NA	NA	NA	0	0	4	0	0	6	0	0	3	0	0	2
TFCP2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFDP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA
TFE3	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2	0	0	1	0	0	1
TFEB	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2	0	0	3	0	0	4
TFEC	NA	NA	NA	0	0	1	0	0	2	0	0	1	0	0	1	0	0	3	0	0	2	0	0	2
TGIF1	0	0	12	0	0	11	0	0	10	0	0	10	0	0	22	0	0	19	0	0	26	0	0	23
THAP1	0	0	3	0	0	3	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2
TIMM44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	64	0
TMEM170B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	0	74	0	0	49	0	0	54	0
TMEM178B	0	109	0	0	100	0	0	109	0	0	122	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	97	0
TOB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	58	0	0	63	0
TOM1L1	NA	NA	NA	NA	NA	NA	0	64	0	0	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOPORS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	67	0	0	60	0	NA	NA	NA	NA	NA	NA
TP53	0	0	15	0	0	13	0	0	18	0	0	16	0	0	28	0	0	28	0	0	31	0	0	28
TP63	0	0	16	0	0	13	0	0	18	0	0	15	NA	NA	NA	0	0	28	0	0	30	0	0	24
TP73	0	0	10	0	0	7	0	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	17	NA	NA	NA
TRIM22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	63	0	NA	NA	NA	NA	NA	NA
TROAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	0	NA	NA	NA
TSPAN5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	62	0	0	60	0
TSSC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	44	0	NA	NA	NA	NA	NA	NA
TWIST1	0	0	3	0	0	3	0	0	4	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82	0	0	81	0
USF1	0	0	4	0	0	3	0	0	3	0	0	2	0	0	3	0	0	2	0	0	3	0	0	4
USF2	0	0	10	0	0	8	0	0	9	0	0	10	0	0	20	0	0	15	0	0	19	0	0	17
VDR	0	0	14	0	0	15	0	0	11	0	0	13	NA	NA	NA	0	0	19	0	0	13	0	0	22
VSX1	0	0	1	0	0	2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WASF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	39	0	0	39	0	NA	NA	NA	NA	NA	NA
XBP1	0	0	3	0	0	3	0	0	4	0	0	3	0	0	4	0	0	6	0	0	6	0	0	6
YY1	0	0	8	0	0	7	0	0	8	0	0	8	0	0	10	0	0	11	0	0	11	0	0	14
ZBTB18	0	0	7	0	0	4	0	0	7	0	0	8	0	0	14	0	0	10	232	63	11	290	68	12
ZBTB33	0	0	1	0	0	2	0	0	1	0	0	2	0	0	3	0	0	3	0	0	4	0	0	5
ZBTB7A	0	0	1	0	0	1	0	0	2	0	0	2	0	0	5	0	0	6	NA	NA	NA	0	0	2
ZBTB7B	0	0	2	0	0	3	0	0	1	0	0	1	0	0	2	0	0	2	0	0	3	0	0	2
ZBTB7C	0	0	2	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
ZEB1	0	0	7	0	0	5	0	0	6	0	0	8	0	0	5	0	0	8	0	0	8	0	0	9
ZIC1	0	0	11	0	0	11	0	0	11	0	0	14	0	0	30	NA	NA	NA	0	0	22	0	0	20
ZIC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8	0	0	7
ZNF143	0	0	10	0	0	9	0	0	10	0	0	12	0	0	30	0	0	30	0	0	23	0	0	23
ZNF24	0	0	17	0	0	17	0	0	14	0	0	13	0	0	29	0	0	29	0	0	27	0	0	20
ZNF263	0	0	17	0	0	11	0	0	17	0	0	20	0	0	40	0	0	40	0	0	35	0	0	35
ZNF282	0	0	15	0	0	16	0	0	15	0	0	11	0	0	28	0	0	26	0	0	25	0	0	23
ZNF354C	0	0	3	0	0	2	0	0	3	0	0	1	0	0	3	0	0	5	0	0	7	0	0	6
ZNF384	0	0	8	0	0	7	0	0	7	0	0	7	0	0	14	0	0	11	0	0	15	0	0	20
ZNF410	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF740	0	0	5	0	0	7	0	0	7	0	0	5	0	0	6	NA	NA	NA	0	0	4	0	0	5
ZSCAN30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	0	0	61	0
